cafe_idx,hub_idx,dist_km,geonameid_cafe,city_cafe,country_cafe,lat_cafe,lon_cafe,population,poi_student,poi_activity,poi_logistics,poi_transit,pop_norm,student_norm,activity_norm,logistics_norm,transit_norm,demand_factor,hub_score_cafe,fixed_cost_proxy,base_weight,geonameid_hub,city_hub,country_hub,lat_hub,lon_hub,hub_score_hub,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
17,19,301.7936561527663,756135,Warsaw,PL,52.22977,21.01178,1702139,918,839,119,3185,0.07927539087574266,0.2641795571731877,0.2475969506131919,0.0315508021390374,0.4254262317089542,1.208027124426551,0.1497134310100124,1.162459092945871,1.0736122826553882,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
18,19,325.3021177191164,2761369,Vienna,AT,48.20849,16.37208,1691468,754,2219,643,3420,0.07857357450578868,0.2144373673036093,0.7050049718263175,0.1716577540106952,0.4569740904819439,1.269663414747429,0.2572526549520698,1.3448608483351578,1.1268310486634514,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
19,49,725.9619990159725,3128760,Barcelona,ES,41.38879,2.15899,1686208,969,2441,260,4189,0.07822763184756004,0.2796481649984835,0.7785880013258204,0.0692513368983957,0.5602094240837696,1.3235064992642542,0.2165387630540078,1.3740173060083762,1.1738157379997105,3173435,Milan,IT,45.46427,9.18951,0.1948230426795255,milan,0.6076977517425448,0.14228026358577445,city,0.6076977517425448,0.8373515888211174,0.43628509719222464,0.5609844372059355,1.6292349524265977,1629.2349524265976,9775.409714559586,0.25551743871395616,1587.6051582158677,9650.520331927397
20,19,917.0875872883541,2673730,Stockholm,SE,59.32938,18.06871,1515017,470,1571,1678,2883,0.06696864523067404,0.1282984531392174,0.4902220749088498,0.4483957219251337,0.3848838770304739,1.1750234868653004,0.4293421684567358,1.249663746148079,1.018974644450761,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
21,21,194.66127600810603,308464,Kayseri,TR,38.73222,35.48528,1434357,332,414,77,1578,0.061663752680726755,0.0864422202001819,0.1067285382830626,0.0203208556149732,0.2096925761847227,1.0732110397767218,0.0771323717858981,1.0920224174578064,0.9207201650618217,325363,Adana,TR,36.98615,35.32531,0.0244843545736677,adana,-0.7513752359640133,-0.7333530118949918,city,-0.7513752359640133,0.031002598314041632,0.03455723542116631,0.5971769815418023,1.089219623335024,1089.219623335024,6535.317740010144,0.032112113039518754,1085.7219089680843,6524.824596909325
22,44,190.1448860826028,706483,Kharkiv,UA,49.98177,36.25475,1433886,331,483,18,994,0.06163277568604507,0.0861389141643918,0.1295989393437189,0.0045454545454545,0.1312927909786548,1.077603136367379,0.0425696554754146,1.1011457962863238,0.9244297789445755,709930,Dnipro,UA,48.46664,35.04066,0.0765259701801124,dnipro,-0.6957218116486716,-0.7865517503463348,city,-0.6957218116486716,0.06402222486895265,0.4269772703897975,0.40394605181920745,1.2613443780483584,1261.3443780483585,7568.06626829015,0.10036656663702678,1248.6846975911956,7530.087226918661
23,42,271.71016593985803,306571,Konya,TR,37.87135,32.48464,1433861,298,513,1,399,0.06163113147188999,0.0761298149833181,0.1395425919787868,0.0,0.0514162974895959,1.0735864073857484,0.0154248892468787,1.1051219419690268,0.9209809093243551,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
24,49,0.0,3173435,Milan,IT,45.46427,9.18951,1371498,654,1751,167,4082,0.05752960637776202,0.1841067637245981,0.5498839907192575,0.0443850267379679,0.5458450798764934,1.2204408563786104,0.1948230426795255,1.2659772813899126,1.0382007359148582,3173435,Milan,IT,45.46427,9.18951,0.1948230426795255,milan,0.6076977517425448,0.14228026358577445,city,0.6076977517425448,0.8373515888211174,0.43628509719222464,0.5609844372059355,1.6292349524265977,1629.2349524265976,9775.409714559586,0.25551743871395616,1587.6051582158677,9650.520331927397
25,42,319.33291298169036,323777,Antalya,TR,36.90812,30.69556,1344000,218,1254,20,612,0.05572110234430739,0.0518653321201091,0.3851508120649652,0.0050802139037433,0.0800107396966035,1.1081493616850584,0.0275593716416013,1.198637206701432,0.9391698032554499,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
26,38,198.53719055483333,792680,Belgrade,RS,44.80401,20.46513,1273651,340,897,422,1915,0.051094349480480944,0.0888686684865028,0.2668213457076566,0.1125668449197861,0.2549335481272654,1.106685470233433,0.1552768558820298,1.1476040178674476,0.9289685074919601,3191281,Sarajevo,BA,43.84864,18.35644,0.0166782355310227,sarajevo,-0.4240714012580953,-0.5819941085397204,city,-0.4240714012580953,0.22519460940652894,0.05831533477321814,0.054288816503800214,1.1330083565312663,1133.0083565312664,6798.050139187598,0.021874106710083125,1130.5300019618483,6790.615075479343
