geonameid,city,country,lat,lon,hub_score,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
745044,Istanbul,TR,41.01384,28.94966,0.1649921605957947,istanbul,-0.3990074482222473,-0.7333530118949918,city,-0.3990074482222473,0.24006525536254764,0.03455723542116631,0.5971769815418023,1.1832978190068517,1183.2978190068518,7099.78691404111,0.216393162243481,1157.692063313781,7022.969646961898
2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
2643743,London,GB,51.50853,-0.12574,0.3744510155689706,london,0.8818359533512552,0.290795647747884,city,0.8818359533512552,1.0,0.4269772703897975,0.40394605181920745,1.6825343768573298,1682.5343768573298,10095.206261143978,0.49110599601613886,1599.9041047595385,9847.315444850605
2673730,Stockholm,SE,59.32938,18.06871,0.4293421684567358,stockholm,0.7238387053298246,0.3253466366585089,city,0.7238387053298246,0.906258955481143,0.5485961123110151,0.43792978646398845,1.6984777591528701,1698.4777591528702,10190.86655491722,0.5630977204088713,1602.8368637184553,9903.943868613975
3117735,Madrid,ES,40.4165,-3.70256,0.2865043579764861,madrid,0.08886285608365685,-0.14618037798784608,city,0.08886285608365685,0.5295226509063288,0.3628509719222462,0.5971769815418023,1.4612858284270391,1461.2858284270392,8767.714970562234,0.3757607864227842,1406.376437219218,8602.986796938769
3054643,Budapest,HU,47.49835,19.04045,0.2009558473556009,budapest,-0.24704378558356438,-0.5769184145495457,city,-0.24704378558356438,0.3302265248976293,0.21598272138228944,0.018096272167933403,1.2476037880427568,1247.6037880427568,7485.622728256541,0.26356083297272187,1214.7218386831096,7386.9768801776
2267057,Lisbon,PT,38.72509,-9.1498,0.2838268999248364,lisbon,0.00603520214529301,-0.2540081597478887,city,0.00603520214529301,0.48038033423651244,0.27213822894168466,0.7419471588852695,1.4128280693187156,1412.8280693187157,8476.968415912293,0.37224920373619735,1360.2356569367116,8319.191178766281
2988507,Paris,FR,48.85341,2.3488,0.3900267379679144,paris,0.8156132629467705,0.4000085173470444,city,0.8156132629467705,0.9607095424312501,0.5961123110151187,1.0,1.800569834050866,1800.5698340508661,10803.419004305197,0.5115341170369383,1708.4645440284105,10527.10313423783
703448,Kyiv,UA,50.45466,30.5238,0.1745993289125411,kyiv,-0.5722266488595456,-0.7865517503463348,city,-0.5722266488595456,0.13729290330069813,0.4269772703897975,0.40394605181920745,1.294316183342644,1294.316183342644,7765.897100055864,0.22899330957629388,1264.6772086964652,7676.980176117328
792680,Belgrade,RS,44.80401,20.46513,0.1552768558820298,belgrade,-0.2850372351100739,-0.6470003283032466,city,-0.2850372351100739,0.3076847041501794,0.1598272138228942,0.23525153818313424,1.2339055169061965,1233.9055169061965,7403.433101437179,0.2036511901305092,1208.7768842035416,7328.047203329214
311046,İzmir,TR,38.41273,27.13838,0.0735125807361717,izmir,-0.6134707506874132,-0.7333530118949918,city,-0.6134707506874132,0.11282244426420909,0.03455723542116631,0.5971769815418023,1.1260385540125992,1126.0385540125992,6756.231324075596,0.09641439782797082,1115.1819211009788,6723.661425340734
323786,Ankara,TR,39.91987,32.85427,0.0609160257666571,ankara,-0.5817574338890349,-0.7333530118949918,city,-0.5817574338890349,0.13163821149475077,0.03455723542116631,0.5971769815418023,1.134505649266343,1134.505649266343,6807.033895598058,0.0798935622113932,1125.4416794994593,6779.841986297407
756135,Warsaw,PL,52.22977,21.01178,0.1497134310100124,warsaw,-0.1957193482423781,-0.5038056844768821,city,-0.1957193482423781,0.3606777284847504,0.2613390928725702,0.38002171552660147,1.3179097411634546,1317.9097411634546,7907.458446980728,0.1963545579959121,1292.0319826929888,7829.82517156933
3128760,Barcelona,ES,41.38879,2.15899,0.2165387630540078,barcelona,0.2034263179372933,-0.14618037798784608,city,0.2034263179372933,0.5974940789681611,0.3628509719222462,0.5971769815418023,1.4918729710548637,1491.8729710548637,8951.237826329183,0.28399838826489615,1449.5040191273092,8824.13097054652
658225,Helsinki,FI,60.16952,24.93545,0.3447896498327665,helsinki,0.6963903080108456,0.44805629647887,city,0.6963903080108456,0.8899735994558234,0.6306695464362851,0.4162142598624683,1.7259108416376958,1725.9108416376957,10355.465049826174,0.45220404634204486,1647.8644550162787,10121.325889961923
308464,Kayseri,TR,38.73222,35.48528,0.0771323717858981,kayseri,-0.5705751915520048,-0.7333530118949918,city,-0.5705751915520048,0.138272726271831,0.03455723542116631,0.5971769815418023,1.137491180916029,1137.4911809160292,6824.947085496175,0.10116188418782221,1125.9841058051795,6790.425860163626
264371,Athens,GR,37.98376,23.72784,0.2161038161099756,athens,0.1404435509623698,-0.04737797089922473,city,0.1404435509623698,0.5601258941620796,0.4269772703897975,0.40394605181920745,1.4845910292302655,1484.5910292302656,8907.546175381593,0.2834279396794155,1442.5135715621377,8781.31380237721
