dc_idx,hub_idx,product,ton,dist_km
19,1,beans,11.693455,846.7733882007986
19,1,syrup,6.8211819,846.7733882007986
19,1,cons,4.8722728,846.7733882007986
19,4,beans,3.5280345,1988.2335543568959
19,4,syrup,2.0580201,1988.2335543568959
19,4,cons,1.4700144,1988.2335543568959
19,19,beans,14.429215,0.0
19,19,syrup,8.417042,0.0
19,19,cons,6.0121728,0.0
19,38,beans,3.0488996,812.731452907449
19,38,syrup,1.7785248,812.731452907449
19,38,cons,1.2703748,812.731452907449
19,49,beans,4.7038889,853.2851736190634
19,49,syrup,2.7439352,853.2851736190634
19,49,cons,1.9599537,853.2851736190634
42,0,beans,7.2521224,191.36230835008877
42,0,syrup,4.2304047,191.36230835008877
42,0,cons,3.0217177,191.36230835008877
42,10,beans,1.3759449,328.8965272356831
42,10,syrup,0.8026345,328.8965272356831
42,10,cons,0.57331036,328.8965272356831
42,21,beans,2.2148025,521.0953843400413
42,21,syrup,1.2919681,521.0953843400413
42,21,cons,0.92283436,521.0953843400413
42,36,beans,1.0439275,691.279954494892
42,36,syrup,0.60895769,691.279954494892
42,36,cons,0.43496978,691.279954494892
42,37,beans,0.92562985,917.9012532599395
42,37,syrup,0.53995075,917.9012532599395
42,37,cons,0.3856791,917.9012532599395
42,42,beans,4.1288701,0.0
42,42,syrup,2.4085075,0.0
42,42,cons,1.7203625,0.0
42,44,beans,3.6960855,1030.966485722281
42,44,syrup,2.1560499,1030.966485722281
42,44,cons,1.5400356,1030.966485722281
